input,label
Create a chart displaying the US population growth throughout the years.,1
Create two roles for a movie script.,0
What is a 9-digit number that is divisible by 7?,1
Recommend a restaurant for someone who likes Mexican food.,0
List the different landforms,0
List three of the four elements.,0
Write two haikus on the same topic.,0
Construct a sentence using 5 idioms.,0
Generate a poetic description of a cloudy sky.,0
"Write a limerick based on the following noun
night",0
Write pseudo-code for a bubble sort algorithm,0
"Create an equation that models the given context
The total salary of an employee consists of fixed salary and overtime payment proportionate to his working hours.",0
Create a programming challenge which requires a basic understanding of an algorithm.,1
"Create a chart showing the data of internet users by country.
Country: China, India, US, Brazil, Spain
Internet Users (in millions): 854.8, 504.0, 302.5, 142.5, 45.5",0
I have a jar of coins and I think it is not the right number of coins. Can you help me count the coins?,1
Provide an example that would demonstrate knowledge of human anatomy.,0
Name some natural disasters that have occurred in Cuba in the past ten years.,1
"Given the following phrase, generate a list of synonyms
Create something",0
"Add some lines to complete the given poem.
Rain pours down 
Soaks the ground",0
Create an opening paragraph for a poem about nature.,0
"Use the information provided to generate a website screenshot.
Website URL: https://github.com/",0
"Select 3 articles to read for the next meeting.
A list of 10 potential articles (titles, authors, publication date and link).",1
"Given a location, provide a list of the best nearby restaurants.
New York City",0
"Create a chart that shows the distribution of users by age and gender.
Number of users: 500
Age Range: 18-75
Gender: Male (60%), Female (40%)",1
Give me a list of useful websites for C programming.,0
"Edit the poem to make it a sonnet.
The sky was so dark, and the stars so bright
I almost fell as I looked up to the sky
A storm is brewing, I can feel its might
What wild secrets lurk up in the sky",0
"List the main characters and their characteristics in the given story
The story is about a young girl who discovers a magical world",0
"Write the code for multiplying two matrices
multiply two 3x3 matrices",1
Create a Twitter bio for a fictionalized character who has the superpower of flight,0
Research the latest news on the topic “AI in healthcare” and provide a summary with what you found in less than 100 words.,0
"Given the following input, create a Mad Lib.
car, delicious, former, sharp, ink",0
"Given a list of natural disasters and their description, generate a poem about them.
Tsunami: A huge wave caused by the displacement of a large body of water
Wildfire: Fire that burns large areas of land
Volcano: An opening in the Earth's surface from which lava, ash, and gas can be released",0
"Generate a couple of interesting dialogue lines for a conversation between two characters in a story.
Location: Outside a cafe 
Time: Afternoon
Characters: Two strangers
Situation: Both characters are running late",1
Draft a tweet summarizing a recent event,0
"Write pseudocode to describe the following algorithm:
Given an array of integers ""arr"", the algorithm should return the index of the first element in ""arr"" greater than or equal to the given target ""num"".",0
"Given some context and a list of words, identify and generate an acrostic poem.
Context: Education
Words: reading, researching, writing",0
Create a comedic tweet about telemarketing calls.,0
"Given a set of instructions, construct a flow chart to visualize the process.
1. Load the dataset.
2. Split the dataset into training and validation set.
3. Pre-process the data.
4. Feed the data into a deep learning model.
5. Train the model on the training set.
6. Tune the hyperparameters with the validation set.",0
Think of 3 new words and define them.,0
Find the least common multiple of 15 and 20,0
Write pseudocode to find all prime numbers up to a given number.,0
"Break the following sentence into clauses and identify each clause's syntactic function:
The workshop had ended and the participants had gone home.",0
"Compose a short poem about summer that includes the phrase ""Summer breeze"".",0
Create verse two of a rap written in the style of T.I.,1
Generate an opening paragraph for a historical fiction story in the Medieval era.,0
"Write a story in three sentences, each with a different tense.",0
Generate a word problem that requires the four basic operations:,1
"Write additional lines to the given poem.
The sky is so blue
Our dreams will come true",0
Write an algorithm to find the intersection of two arrays.,0
"Create an original poem using the words: determination, creativity and joy.",0
"Generate organization chart for the given company.
The company has 10 employees.",1
Generate a story with a beginning and an ending that is 100 words long.,0
Create a Geometric poem.,0
"Predict what will happen next in the following story snippet:

He had been standing alone outside the library for what felt like days.",0
"Design a website banner for the given product.
Heated massage cushion",0
Compose a poem that includes the words 'stars' and 'light'.,0
"Given five words, construct a poem with a consistent meter.
foolish, trespass, wisdom, apology, trust",0
"Generate a story line that is capped at 100 words.
No input",0
Create a new shopping list.,0
Create a grocery list.,0
Generate a joke about a doctor and a patient.,0
Write a poem that must have 8 lines in it.,0
Find a list of words related to the concept of success.,0
"Given a line from a poem, craft five original lines of a poem that could follow.
The wind howls a lonely tune",0
Suggest a cool gadget to buy as a gift,0
List all the widgets that a user can purchase from your store.,0
"Determine the optimal order of the following tasks.
- Go to work
- Buy groceries
- Mow the lawn",0
Come up with a creative way to congratulate someone for achieving their goals.,0
"Write a personal message between two friends using the following words.
Cheerful, surprise",0
Create a poem that uses vivid imagery.,0
Create a poem that has a connection with nature.,0
Make a list of materials required to build a model aircraft,0
Generate an analogy to explain a complex concept.,0
Write a list of ingredients.,0
"Given a set of data, create an entertaining poem
London | population | 8.9 million
London | area | 1,572 km²
London | country | England",0
"Read this article and cluster the topics into their respective categories.
Article about the importance of sports for physical and mental health.",0
"For the given text, identify three obscure words and use them in a sentence.
The little girl walked down the street carrying an umbrella.",1
Compose a poem that encapsulates the feeling of joy.,0
"Create a poem that has ten lines, each with a five-syllable count.",0
Identify which techniques could be used to reduce a text's readability score.,0
Construct a web page using HTML and CSS and showcase a product.,1
"Write an algorithm to calculate the sum of all numbers between two given numbers, including both of them.
7 and 9",0
Come up with a new product idea for the company.,0
Generate a sequence of HTML code to create a landing page.,1
Provide an example of a healthy breakfast dish,0
"Summarize a news report about a protest in the given location.
Honolulu, HI",1
Write a four-sentence story including the words bridge and coach.,0
Provide 3 new words and their definitions.,0
"Select a prompt from the following list and provide an appropriate input.
Prompt: ""Imagine a surprise party you attended.""",0
"Find the sum of the following equation.
18X + 55Y = 90",0
Generate a comic strip about a funny conversation between two characters.,0
Create an analogy that compares the sun to a balloon.,0
"How to use the following text to cause reader to have a negative emotion?
The sun was shining brightly, birds were chirping, and a light breeze rustled the surrounding trees.",0
"Design a web page to display data in table format.
The table contains 3 columns: Name, Age, Country",1
"Given a starting phrase, find a way to continue the narrative.
John walked into the room and...",0
Construct a Basic HTML page,0
List the products that Apple Inc. makes.,1
Write a 3 sentence story that ends with a joke.,0
Give me an example of a simple machine learning problem.,0
Write a logic equation,1
Generate a Sudoku puzzle with one solution.,0
Generate a description of an animated inanimate object.,0
"Evaluate a given paper with a score between 0 and 10.
The paper “The Impact of AI on Education” by Janet Smith and Tom Williams.",1
"Generate examples of somatic imagery in the following sentence.
My heart was pounding out of my chest.",0
"Determine the cost of living in the following city.
New York City",1
"Take the following limerick and edit it to make it humorous.
Fish from the sea
They come from Okinawa
Live in a tank
Don't ask me what kind of a rank",0
Generate a creative way to use the word 'squirrel',0
Create a shopping list for a 4-person birthday party.,0
Create a content outline for a course on evolution.,0
Evaluate the following polynomial 3x2 + 6x - 5,1
Generate a to-do-list for today.,0
"Create a riddle about the given topic.
Tree",0
Write an original poem that has 8 lines.,0
Suggest a funny activity to liven up a party.,0
Recommend stocks that could be bought in the US stock market.,1
Give an example of a time when an animal displayed an act of heroism.,1
Write a code to generate a random password with 8 characters.,1
"Given two items, come up with a creative way to combine them.
Raincoat and Cupcake",0
Identify the main components of electromagnetic radiation.,0
"Suggest a better way of solving this problem.
Given the following equation: 2x + 3y = 5",0
Create a chart detailing the monthly rent prices of five different cities.,1
"What is the least common multiple of 3, 4, and 7?",0
Create a poem of five lines with a unique rhyme scheme.,0
Create a schedule for studying Math,0
"Design an algorithm to solve the following problem.
Input: A string and an integer k Output: A string
Input: ""abcdefg"", 3",0
Create a poem in 123 words,0
"What is the name of the most recently launched rocket?
<noinput >",1
"Given a set of characters, write a function which checks whether the given set contains the character 'A'.
Character Set: [W, X, Y, Z]",1
Generate an interesting and unique animal.,0
"Create an acrostic poem based on the following concept:
The Internet",0
Compose a tone poem in 50 words or less.,0
Name some plants and animals that live in the Amazon rainforest.,0
Generate a limerick of your choice.,0
Give me a list of healthy snacks that I can eat,0
Summarize the story you wrote before in two sentences.,1
Create a  poem about overcoming adversity,0
"Compose a poem about winter using the given keywords.
snow, frosty, ice, chilly",0
"Generate three new lines for an incomplete poem.
The sun rose in the sky
Bringing with it a warmth",0
Generate an interesting fact about the behavior of a physical system.,0
Generate a story of 3 to 5 sentences that uses a metaphor to describe the relationship between two people,0
Write a limerick about your hometown.,0
Generate an analogy to compare two ideas.,1
Write a sonnet about the summer season.,0
"Update a record in the customer database of a given company according to the instructions.
company: ABC Limited
instructions: change the contact number for customer 'John Smith'",1
"Summarize what kind of experience the customers can have when shopping at this store.
Shop Name: Brands World",0
Create a product of your own and explain it in 100 words or less.,0
"Classify between two different types of cats
American shorthair and Maine coon",0
"Put the following set of words into their correct grammatical forms.
Be
Disruptive",0
Generate a short story of 50-100 words.,0
"Create a paragraph about cities using only words that start with the letter ""P"".",0
"Develop a system for classifying a given list of objects.
Apple, Orange, Pear",0
"Generate a 2 sentence fable for the following subject.
Jealousy",0
Suggest a creative way for a movie character to introduce himself.,0
"Based on the input string, generate additional imporant keywords.
Python programming language",0
Create a list of the top 5 best schools in your city.,1
"Convert this paragraph into a poem
John was a passionate musician who could play any song with ease. His family and friends always encouraged him to pursue his dreams, even when things were tough.",0
Write an interesting fact about Japan.,0
Provide an example of an idiom with its definition.,0
Create an interesting math problem.,0
Who won the most Oscars in the 21st century?,1
Write an acrostic poem containing the word 'web'.,0
Provide five examples of colloquial terms,0
Generate a rap that is 10 lines long.,0
"Cite three references for the given topic.
Online Shopping",1
Generate a limerick about space exploration,0
"Using the given input, generate a creative story of around 80 words.
Jill and her cat, Harry, are walking in the forest.",0
Write an algorithm to sort a list of numbers from smallest to largest.,0
"Generate 2 meaningful sentences in French using the following words: parler, plaisir, bienvenu.",0
"Generate a 5-word list for each of the 5 given topics.
Animals, Countries, Sports, Music, Movies",0
Come up with three new words and their definitions.,0
"Construct a flow chart for a process.
Completing a survey",0
Propose a data structure to store information about a student's performance,0
Generate a poem that has five lines.,0
Generate an opening paragraph for a story set in a magical land.,0
Create a table mapping temperatures in Celsius to Fahrenheit,0
Please provide an example of a hypothetical situation where the concept of Occam's razor would be applicable.,0
"Find the area of a triangle with vertices (2, -3), (6, 10) and (-3, 7).",1
Tell me an interesting fact about the history of India.,0
"Generate a mad lib using the words provided.
horse, turkey, sailboat",0
Tell me about a current event in your country.,1
"Add a creative twist to our review to make it more entertaining
This is a great product. It is cost-effective and easy to use.",0
Create a calendar appointment for Next Monday at 11:00AM,1
"Analyze the given paragraph to find any mistakes or room for improvement.
Jhon and his friends went for a day out on the beach. They spent their day by swimming and also playing lots of badmminton and soccer.",0
"Create a poem about autumn using the words ""orange,"" ""leaves"" and ""cold.""",0
Add an interesting fact about the movie 'Titanic',1
Create a function that takes two arguments and returns a value that indicates the larger of the arguments.,0
Create a short poem that conveys the concept of hope,0
v,1
Give an example of a dataset for sentiment analysis,0
Construct a request for an assistant to do an action.,0
Which type of pronouns can be used to replace the word 'it'?,0
"Generate a programming code that can solve the given problem.
Calculate the average of two numbers.",0
Create a 5-line poem which conveys admiration,0
"Generate a poem using words from the following list.
Field, growing, vastness, time, humble, cloud.",0
"Calculate the total number of eyes and legs for a group of 6 cats, 4 dogs, and 5 mice.",0
"Find the area of the triangle whose vertices are (1,−1), (6,-2), (1,4).",1
"Output the US state for the following zip code.
85368",1
Make a list of good sources for researching a topic,0
How many oceanic plate boundaries are there in the world?,0
Compose a poem about AI using an AABB rhyme scheme.,0
How would you classify a catfish?,0
"Compose a short poem with the following words: beauty, dream, sun and blue.",0
Create a meme summarizing the importance of maintaining a healthy lifestyle.,1
Return a list of emergency contact numbers.,0
Tell me the title of the most popular song released in 2020 so far.,0
Write a limerick that is about technology.,0
Generate a fictional story that is three sentences long.,0
Compose a poem which follows the ABAB rhyme scheme.,1
Come up with a unique idea for a party invitation.,0
Write a few words in progress with their meanings.,0
Compose a poem about spring featuring at least five similes.,0
"Create a limerick about the following word.
Mountain",0
Find the top 5 states with the highest GDP per capita,1
"Create a poem using the following words: weekend, sunrise, first.",0
Compose a sonnet based on the sun.,0
Write 5 lines of dialogue in a cartoon style.,0
Find an example of a cultural celebration in an African country.,0
Generate a new color scheme for the walls of a room.,0
Create an example of a 5-sentence description of a setting.,0
Create an allusion to a famous work of literature in a sentence.,0
Generate a list of tools that a person can use to quickly get started with a web design project.,0
Compose a limerick describing a morning in the forest.,0
"Implement a K-means clustering algorithm on these given data points.
[(3,7),(2,2),(2,5),(1,3),(8,6)]",1
Name the first five conveners of the United Nations,0
Which two shapes make a right angle triangle?,0
Create a nursery rhyme about learning.,0
"Calculate the percentage of how much the given number has decreased
Number 1: 567
Number 2: 314",0
What are the stereotypes about people from India?,0
Create a prompt that can be used to generate a story.,0
Describe a fashion trend that is currently popular in your city.,1
Create a Valentine's Day themed poem.,0
Create a poem that is at least 8 lines long.,0
"Rewrite a poem in a different style.
Poem:

The sun smiles in the sky
A light that warms us all
As it slowly fades away",0
Write a poem about winter in 5 lines.,0
Write a horror story in 5 or less sentences.,0
"Name a famous movie with the input name
Grace",1
"Multiply the following matrices ( [1,2], [3,4] ) and [ 5,6] [7,8]
[[1,2], [3,4]], [[5,6], [7,8]]",1
Write a funny shape poem about a circle.,0
Generate a hypothetical thought experiment,0
Provide a recipe for a 5-minute healthy snack.,0
Calculate the following: (2 * 3 + 4) / 5,0
"Record a rhyme with these two words.
Sea, Sun",0
Create a poem (3 verses max) that expresses your feelings about nature.,0
Generate a mnemonic for the numbers 1 - 10,0
Generate a shopping list for weekly groceries.,0
Generate a list of items and services needed for a summer BBQ party for 50 people.,0
"Create a poster that conveys the message: ""Love your Mother Nature"".",0
Generate a military-style marching chant.,0
"Create a program to play Rock, Paper, Scissors",1
Come up with a list of things to include in a first aid kit.,0
Identify an interesting fact about Saturn.,1
Provide an example of a response that exhibits passive-aggressive behavior,0
"Generate a limerick with the theme ""friends"".",0
Calculate the length of diagonal of a rectangle with sides lengths 6cm and 8cm.,0
Choose five colleges that are well known in your country.,1
Write a regular expression for validating a phone number.,0
Write a few sentences about an example of a meaningful accomplishment,0
"What is the best way to respond to the given input?
I don't know what to do",0
"Find a Twitter post from an account with over 100,000 followers.",1
Create a post for Instagram about a trip to a nature reserve,0
Create a short poem about autumn.,0
"Pick out three relevant events from the news.
This week, the United Nations held its first online meeting, Netflix announced its new streaming services, and the US presidential elections were postponed.",1
Make up a poem about a violent storm.,0
"Access and edit the following spreadsheet.
Spreadsheet URL: https://docs.google.com/spreadsheets/d/1H8SOqhJQA1ySvYMOoIay8gJoL-jK0Rv4/edit?usp=sharing",1
"Create a rap verse based off this prompt
""Life moves fast and so must you""",0
"Given a list of characters, think of a creative way to introduce them.
Harry Potter, Luna Lovegood, Sirius Black",0
Generate a riddle about a tree.,0
Create a funny storytelling tweet in less than 280 characters,0
Can you illustrate the concept of a 'cause and effect' relationship?,0
"Write an acrostic poem given the input
Sport",0
Generate a list of clothes in your wardrobe,0
Predict a future technological advancement.,1
Provide an example of a classic fairy tale with a lesson.,0
Create sample data to describe a student's performance in a Math class.,0
"Given some information about a movie, rate it out of 10.
Title: Get Out
Genre: Psychological horror, Social thriller
Release date: February 24, 2017",1
"Generate a poem with six lines and a rhyme scheme of AABB CC.
Theme: Nature",0
"Summarize the abstract of the following research paper
https://www.sciencedirect.com/science/article/pii/S0048969720390785",1
Design a job application form,0
Generate a poem that expresses joy.,0
Write a short poem that encapsulates the feeling of summers in a rural town.,0
Predict the values of x and y in the following equation: 9x + 4y = 36.,0
Determine the sum of the series 1 + 1/2 + 1/3 + ...,0
"Identify the political party with the given leader
Rahma Khalil - President of Egypt",1
"Compose a melody based on the given C major scale.
C major scale",0
Implement a program to reverse a string.,0
Generate a poem with 10 lines.,0
"Cite three reputable sources that support the given statement.
The use of plant-based foods in an effort to reduce environmental impacts is becoming increasingly popular.",0
Write a list poem about summer.,0
Generate a story containing at least five sentences that involves the main character Alice.,0
Create a 10-second animation of a village scene.,1
Generate an opening paragraph for a mystery novel.,0
Name some common symptoms of COVID-19.,0
"Design an algorithm to reverse the elements of a given array.
[2, 4, 6, 8]",0
"Design a t-shirt with the annoucement of a new product.
Product: Smartphone",0
Get the assistant to find 3 articles about the current racial justice movement.,1
"Insert a new paragraph into this text.
This is an example of a sentence.",1
Generate a premise for a new television series.,0
"Consider the following sentence. Elaborate on it to make a more interesting sentence.
The cat is sitting on the table",0
"Adjust the following SQL query so it returns the correct data.
SELECT * FROM Products WHERE Products.price > 10;",0
Provide a two sentence description of a character from the European fairy tales.,0
"Create a function that takes a list and a number as arguments, and returns a list with the numbers multiplied by the specified number.
[2, 4, 6]
3",0
Construct a four-panel comic strip about a single topic.,0
Create an original poem about data science,0
